DATE,VALUE,CPI ^ %,Real GDP %
1954-10-01,26.720,,8.00%
1954-11-01,26.780,0.2246%,
1954-12-01,26.770,-0.0373%,
1955-01-01,26.770,0.0000%,11.90%
1955-02-01,26.820,0.1868%,
1955-03-01,26.790,-0.1119%,
1955-04-01,26.790,0.0000%,6.70%
1955-05-01,26.770,-0.0747%,
1955-06-01,26.710,-0.2241%,
1955-07-01,26.760,0.1872%,5.50%
1955-08-01,26.720,-0.1495%,
1955-09-01,26.850,0.4865%,
1955-10-01,26.820,-0.1117%,2.40%
1955-11-01,26.880,0.2237%,
1955-12-01,26.870,-0.0372%,
1956-01-01,26.830,-0.1489%,-1.50%
1956-02-01,26.860,0.1118%,
1956-03-01,26.890,0.1117%,
1956-04-01,26.930,0.1488%,3.40%
1956-05-01,27.030,0.3713%,
1956-06-01,27.150,0.4440%,
1956-07-01,27.290,0.5157%,-0.30%
1956-08-01,27.310,0.0733%,
1956-09-01,27.350,0.1465%,
1956-10-01,27.510,0.5850%,6.70%
1956-11-01,27.510,0.0000%,
1956-12-01,27.630,0.4362%,
1957-01-01,27.670,0.1448%,2.60%
1957-02-01,27.800,0.4698%,
1957-03-01,27.860,0.2158%,
1957-04-01,27.930,0.2513%,-0.90%
1957-05-01,28.000,0.2506%,
1957-06-01,28.110,0.3929%,
1957-07-01,28.190,0.2846%,4.00%
1957-08-01,28.280,0.3193%,
1957-09-01,28.320,0.1414%,
1957-10-01,28.320,0.0000%,-4.00%
1957-11-01,28.410,0.3178%,
1957-12-01,28.470,0.2112%,
1958-01-01,28.640,0.5971%,-10.00%
1958-02-01,28.700,0.2095%,
1958-03-01,28.870,0.5923%,
1958-04-01,28.940,0.2425%,2.60%
1958-05-01,28.940,0.0000%,
1958-06-01,28.910,-0.1037%,
1958-07-01,28.890,-0.0692%,9.60%
1958-08-01,28.940,0.1731%,
1958-09-01,28.910,-0.1037%,
1958-10-01,28.910,0.0000%,9.70%
1958-11-01,28.950,0.1384%,
1958-12-01,28.970,0.0691%,
1959-01-01,29.010,0.1381%,7.70%
1959-02-01,29.000,-0.0345%,
1959-03-01,28.970,-0.1034%,
1959-04-01,28.980,0.0345%,10.10%
1959-05-01,29.040,0.2070%,
1959-06-01,29.110,0.2410%,
1959-07-01,29.150,0.1374%,-0.80%
1959-08-01,29.180,0.1029%,
1959-09-01,29.250,0.2399%,
1959-10-01,29.350,0.3419%,1.60%
1959-11-01,29.350,0.0000%,
1959-12-01,29.410,0.2044%,
1960-01-01,29.370,-0.1360%,9.20%
1960-02-01,29.410,0.1362%,
1960-03-01,29.410,0.0000%,
1960-04-01,29.540,0.4420%,-1.50%
1960-05-01,29.570,0.1016%,
1960-06-01,29.610,0.1353%,
1960-07-01,29.550,-0.2026%,1.00%
1960-08-01,29.610,0.2030%,
1960-09-01,29.610,0.0000%,
1960-10-01,29.750,0.4728%,-4.80%
1960-11-01,29.780,0.1008%,
1960-12-01,29.810,0.1007%,
1961-01-01,29.840,0.1006%,2.70%
1961-02-01,29.840,0.0000%,
1961-03-01,29.840,0.0000%,
1961-04-01,29.810,-0.1005%,7.60%
1961-05-01,29.840,0.1006%,
1961-06-01,29.840,0.0000%,
1961-07-01,29.920,0.2681%,6.80%
1961-08-01,29.940,0.0668%,
1961-09-01,29.980,0.1336%,
1961-10-01,29.980,0.0000%,8.30%
1961-11-01,29.980,0.0000%,
1961-12-01,30.010,0.1001%,
1962-01-01,30.040,0.1000%,7.40%
1962-02-01,30.110,0.2330%,
1962-03-01,30.170,0.1993%,
1962-04-01,30.210,0.1326%,4.40%
1962-05-01,30.240,0.0993%,
1962-06-01,30.210,-0.0992%,
1962-07-01,30.220,0.0331%,3.90%
1962-08-01,30.280,0.1985%,
1962-09-01,30.420,0.4624%,
1962-10-01,30.380,-0.1315%,1.60%
1962-11-01,30.380,0.0000%,
1962-12-01,30.380,0.0000%,
1963-01-01,30.440,0.1975%,4.50%
1963-02-01,30.480,0.1314%,
1963-03-01,30.510,0.0984%,
1963-04-01,30.480,-0.0983%,5.30%
1963-05-01,30.510,0.0984%,
1963-06-01,30.610,0.3278%,
1963-07-01,30.690,0.2614%,8.00%
1963-08-01,30.750,0.1955%,
1963-09-01,30.720,-0.0976%,
1963-10-01,30.750,0.0977%,2.90%
1963-11-01,30.780,0.0976%,
1963-12-01,30.880,0.3249%,
1964-01-01,30.940,0.1943%,8.90%
